Intervalos de horas;FALLECIDOS;AÑO
00:00-05:59 MADRUGADA;356;2016
06:00-11:59 MAÑANA;486;2016
12:00-17:59 TARDE ;491;2016
18:00-23:59 NOCHE;660;2016
00:00-05:59 MADRUGADA;228;2017
06:00-11:59 MAÑANA;468;2017
12:00-17:59 TARDE ;411;2017
18:00-23:59 NOCHE;481;2017
00:00-05:59 MADRUGADA;245;2018
06:00-11:59 MAÑANA;388;2018
12:00-17:59 TARDE ;387;2018
18:00-23:59 NOCHE;407;2018
00:00-05:59 MADRUGADA;436;2019
06:00-11:59 MAÑANA;480;2019
12:00-17:59 TARDE ;498;2019
18:00-23:59 NOCHE;681;2019
00:00-05:59 MADRUGADA;167;2020
06:00-11:59 MAÑANA;439;2020
12:00-17:59 TARDE ;563;2020
18:00-23:59 NOCHE;562;2020
SIN ESPECIFICACION;1;2020
00:00-05:59 MADRUGADA;216;2021
06:00-11:59 MAÑANA;334;2021
12:00-17:59 TARDE ;412;2021
18:00-23:59 NOCHE;580;2021
SIN ESPECIFICACION;1;2021
