Tipo de Accidente;FALLECIDOS;AÑO
Colisiones;1179;2016
Deslizamientos;391;2016
Atropellos;324;2016
Estrellamientos;67;2016
Caídas desde Vehículos en Movimiento;13;2016
Volcaduras de Vehículo;7;2016
Colisiones con Animales;12;2016
Aplastamiento;0;2016
Sin Especificación;0;2016
Colisiones;913;2017
Deslizamientos;311;2017
Atropellos;275;2017
Estrellamientos;63;2017
Caídas desde Vehículos en Movimiento;6;2017
Volcaduras de Vehículo;6;2017
Colisiones con Animales;14;2017
Aplastamiento;0;2017
Sin Especificación;0;2017
Colisiones;846;2018
Deslizamientos;272;2018
Atropellos;241;2018
Estrellamientos;56;2018
Caídas desde Vehículos en Movimiento;6;2018
Volcaduras de Vehículo;4;2018
Colisiones con Animales;2;2018
Aplastamiento;0;2018
Sin Especificación;0;2018
Colisiones;1219;2019
Deslizamientos;423;2019
Atropellos;310;2019
Estrellamientos;93;2019
Colisiones con Animales;25;2019
Caidas;11;2019
Volcaduras;9;2019
Aplastamientos;4;2019
Sin Especificación;1;2019
Colisiones;1061;2020
Deslizamientos;370;2020
Atropellamientos;214;2020
Estrellamientos;74;2020
Caídas desde Vehículos en Movimiento;7;2020
Volcaduras;3;2020
Aplastamientos;2;2020
Sin Especificación;1;2020
Colisión;965;2021
Deslizamiento;322;2021
Atropellamiento;179;2021
Estrellamiento;52;2021
Caída;9;2021
Aplastamiento;6;2021
Volcadura;6;2021
Quemaduras;2;2021
Caída y Atroppellamiento;1;2021
Caída de Arbol;1;2021
